Dosya_Adi,Duygu
G15_D02_C_08_Uzgun_C4.wav,Sad
G15_D05_E_26_mutlu_C2.wav,Happy
G15_D02_C_08_Notr_C1.wav,Neutral
G15_D01_C_05_Uzgun_C4.wav,Sad
G15_D02_C_08_Mutlu_C2.wav,Happy
G15_D06_E_55_notr_C1.wav,Neutral
G15_D04_K_28_Saskin_C5.wav,Surprised
G15_D01_C_05_Mutlu_C2.wav,Happy
G15_D05_E_26_ofkeli_C3.wav,Angry
G15_D03_K_19_Saskin_C5.wav,Surprised
G15_D01_C_05_Notr_C1.wav,Neutral
G15_D04_K_28_Notr_C1.wav,Neutral
G15_D06_E_55_ofkeli_C3.wav,Angry
G15_D03_K_19_Mutlu_C2.wav,Happy
G15_D03_K_19_Ofkeli_C3.wav,Angry
G15_D04_K_28_Uzgun_C4.wav,Sad
G15_D06_E_55_mutlu_C2.wav,Happy
G15_D05_E_26_notr_C1.wav,Neutral
G12_D08_E_13_Notr_C1.wav,Neutral
G12_D06_K_8_Notr_C1.wav,Neutral
G12_D04_E_8_Sask─▒n_C5 .wav,Surprised
G12_D02_K_21_Notr_C1.wav,Neutral
G12_D05_E_8_Sask─▒n_C5.wav,Surprised
G12_D07_E_20_Sask─▒n_C5.wav,Surprised
G12_D04_E_8_Notr_C1.wav,Neutral
G12_D01_K_21_Ofkeli_C3.wav,Angry
G12_D01_K_21_Mutlu_C2.wav,Happy
G12_D07_E_20_Notr_C1.wav,Neutral
G12_D03_E_20_Mutlu_C2.wav,Happy
G12_D07_E_20_Mutlu_C2.wav,Happy
G12_D01_K_21_Notr_C1.wav,Neutral
G12_D02_K_21_Sask─▒n_C5.wav,Surprised
G12_D03_E_20_Ofkeli_C3.wav,Angry
G12_D02_K_21_Mutlu_C2.wav,Happy
G12_D03_E_20_Uzgun_C4.wav,Sad
G12_D04_E_8_Mutlu_C2.wav,Happy
G05_D06_C_9_Angry_C3.wav,Angry
G05_D05_E_21_Angry_C3.wav,Angry
G05_D02_E_23_Neutral_C1.wav,Neutral
G05_D01_C_9_Happy_C2..wav,Happy
G05_D05_E_21_Neutral_C1.wav,Neutral
G05_D03_K_19_Happy_C2.wav,Happy
G05_D02_E_23_Happy_C2.wav,Happy
G05_D04_K_21_Angry_C3.wav,Angry
G05_D06_C_9_Neutral_C1.wav,Neutral
G05_D03_K_19_Neutral_C1.wav,Neutral
G05_D03_K_19_Angry_C3.wav,Angry
G05_D02_E_23_Angry_C3.wav,Angry
G05_D04_K_21_Happy_C2.wav,Happy
G05_D01_C_9_Neutral_C1.wav,Neutral
G05_D04_K_21_Neutral_C1.wav,Neutral
G05_D01_C_9_Angry_C3.wav,Angry
G05_D06_C_9_Happy_C2.wav,Happy
G05_D05_E_21_Happy_C2.wav,Happy
G23_D03_E_23_Notr_C1.wav,Neutral
G23_D04_E_24_Notr_C1.wav,Neutral
G23_D05_C_12_Saskin_C5.wav,Surprised
G23_D02_K_24_Ofkeli_C3.wav,Angry
G23_D04_E_24_Saskin_C5.wav,Surprised
G23_D02_K_24_Saskin_C5.wav,Surprised
G23_D01_K_23_Notr_C1.wav,Neutral
G23_D01_K_23_Uzgun_C4.wav,Sad
G23_D06_C_12_Ofkeli_C3.wav,Angry
G23_D06_C_12_Mutlu_C2.wav,Happy
G23_D02_K_24_Notr_C1.wav,Neutral
G23_D05_C_12_Mutlu_C2.wav,Happy
G23_D01_K_23_Mutlu_C2.wav,Happy
G23_D06_C_12_Uzgun_C4.wav,Sad
G23_D04_E_24_Uzgun_C4.wav,Sad
G23_D05_C_12_Notr_C1.wav,Neutral
G23_D03_E_23_Ofkeli_C3.wav,Angry
G23_D03_E_23_Mutlu_C2.wav,Happy
G03_D04_M_23_Sad_C4.wav,Sad
